date,narration,chq/ref_no,value_date,withdrawal_amt,deposit_amt,closing_balance
01/04/2023,OPENING BALANCE,,,0,0,250000.00
02/04/2023,NEFT-WORKSPACE SOLUTIONS-MONTHLY MEMBERSHIP,NEFT123456,02/04/2023,0,45000.00,295000.00
03/04/2023,IMPS-TECH STARTUP LTD-MEETING ROOM BOOKING,IMPS789012,03/04/2023,0,3500.00,298500.00
05/04/2023,RENT PAYMENT TO BUILDING OWNER,CHQ001234,05/04/2023,85000.00,0,213500.00
07/04/2023,ELECTRICITY BILL PAYMENT-APRIL,BILLPAY567,07/04/2023,12500.00,0,201000.00
08/04/2023,INTERNET SERVICE PROVIDER-MONTHLY,NEFT234567,08/04/2023,8500.00,0,192500.00
10/04/2023,SALARY PAYMENT-RECEPTIONIST,NEFT345678,10/04/2023,25000.00,0,167500.00
10/04/2023,SALARY PAYMENT-MAINTENANCE STAFF,NEFT345679,10/04/2023,18000.00,0,149500.00
12/04/2023,OFFICE SUPPLIES-STATIONERY,POS123456,12/04/2023,3500.00,0,146000.00
15/04/2023,GST PAYMENT-MARCH,NEFT456789,15/04/2023,9500.00,0,136500.00
16/04/2023,UPI-CREATIVE DESIGNS-DAY PASS,UPI123456,16/04/2023,0,1200.00,137700.00
18/04/2023,UPI-FREELANCER NETWORK-MEETING ROOM,UPI234567,18/04/2023,0,2500.00,140200.00
20/04/2023,COFFEE SUPPLIES PURCHASE,POS234567,20/04/2023,4500.00,0,135700.00
22/04/2023,MAINTENANCE CHARGES-AC REPAIR,NEFT567890,22/04/2023,7500.00,0,128200.00
23/04/2023,UPI-DIGITAL MARKETING AGENCY-MONTHLY MEMBERSHIP,UPI345678,23/04/2023,0,35000.00,163200.00
25/04/2023,WATER DISPENSER REFILL,POS345678,25/04/2023,1800.00,0,161400.00
26/04/2023,CLEANING SERVICES-MONTHLY,NEFT678901,26/04/2023,12000.00,0,149400.00
27/04/2023,UPI-REMOTE WORKER-HOT DESK WEEKLY,UPI456789,27/04/2023,0,3500.00,152900.00
28/04/2023,INSURANCE PREMIUM-PROPERTY,NEFT789012,28/04/2023,8500.00,0,144400.00
29/04/2023,ADVERTISING EXPENSE-SOCIAL MEDIA,CARD123456,29/04/2023,5000.00,0,139400.00
30/04/2023,NEFT-BUSINESS CONSULTANCY-PRIVATE OFFICE RENTAL,NEFT890123,30/04/2023,0,55000.00,194400.00
30/04/2023,BANK CHARGES,AUTO12345,30/04/2023,250.00,0,194150.00
